year,temp
333.4,27.13355548
333.5,27.54831589
333.7,26.27955816
334.1,23.32364184
334.2,23.32467282
334.3,23.32691938
334.4,22.0616351
334.4,21.21651615
334.5,23.33043901
334.6,23.75827944
334.8,22.06023617
335,23.75452585
335.2,25.86671776
335.5,23.32188828
336.4,25.01828138
336.4,27.11500517
336.5,27.12487231
337.3,25.85928847
337.5,26.26804986
338.5,20.37407383
339.2,25.85826014
252.18,25.01627063
252.19,22.05830591
252.22,30.08120066
252.23,24.17256484
252.25,23.32862258
252.29,22.06020244
252.35,25.0215991
252.44,23.32206228
252.59,22.05671006
252.6,22.48358933
252.71,20.3708719
253.05,27.13450559
253.1,23.3291705
253.17,24.16700422
253.2,24.60277031
253.29,21.64544415
253.35,22.49096549
253.35,24.59602074
253.56,23.74724547
253.64,24.59136959
253.69,26.284356
253.75,21.22013356
253.78,23.75628022
253.86,21.64352349
253.87,24.59452924
253.88,21.63880053
253.89,24.17160677
253.9,26.28134436
253.92,25.01370191
253.92,27.1272357
253.93,26.27658011
253.95,31.33709265
253.96,25.43092856
254,25.01834857
254.01,23.32916467
254.02,26.28949058
254.08,27.54702138
254.09,24.17294438
254.1,26.28911116
254.11,25.85998591
254.14,27.54163608
254.3,29.66146103
254.5,23.32963814
254.52,22.0627254
254.6,21.6406961
254.74,25.43821495
254.74,28.38916958
254.9,27.96055101
255.31,29.23632441
255.39,32.19499355
255.62,27.54581387
255.71,26.70661325
255.85,25.44005715
255.94,28.40211545
256,26.69817947
256.1,26.27553815
256.22,30.08525953
256.29,25.442125
256.35,33.45908939
256.43,30.49463791
256.52,30.92579393
256.57,26.70656496
256.64,30.08129271
256.7,30.93112624
256.7,30.08239148
256.75,29.23590916
256.86,30.93774968
256.92,28.3917886
256.93,30.9253932
256.97,30.92908949
257.06,32.17167191
257.15,27.1184834
257.26,32.18699256
257.38,27.97852422
257.39,29.64624242
257.41,30.93554095
257.5,32.19335409
257.65,30.49225025
257.65,28.81311076
257.77,28.81708952
257.93,30.07612547
257.93,29.2496972
257.93,27.97264271
257.99,28.80838089
258.08,30.07228401
258.1,30.06992486
258.16,30.49925874
258.17,34.72108609
258.18,28.3830721
258.24,28.38261892
258.33,35.9936802
258.45,31.77976181
258.5,33.03187453
258.5,28.8173174
258.51,30.08134145
258.54,34.71324538
258.56,31.34808848
258.6,31.34191915
